File name,Formulae,Vertices,Edges,InRow Vertices,InRow Edges,TACO Vertices,TACO Edges,Max Dep Ref ,Max Dep,Longest Dep Ref,Longest Dep,RR-Chain-Comp,RR-Chain-NoComp,RR-Comp,RR-NoComp,RF-Comp,RF-NoComp,FR-Comp,FR-NoComp,FF-Comp,FF-NoComp,RR-GapOne,RR-GapOne-NoComp,RR-GapTwo,RR-GapTwo-NoComp,RR-GapThree,RR-GapThree-NoComp,RR-GapFour,RR-GapFour-NoComp,RR-GapFive,RR-GapFive-NoComp,RR-GapSix,RR-GapSix-NoComp,RR-GapSeven,RR-GapSeven-NoComp,NoType,NoType-NoComp
001_MDC_NTTR_FUN-MAP.xlsx,312,657,609,484,443,205,149,ROUTE:G3,48,ROUTE:E3,15,8,41,58,387,0,0,0,0,2,22,16,32,10,38,10,20,0,0,12,34,2,4,0,0,31,31
001-ATUX_Pantallas_preliminar_v93.xlsx,43,53,47,53,47,39,30,Reposicion:O61,18,Reposicion:O61,8,0,0,7,20,0,0,0,0,3,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,19,19
001-functions_financial_amortization_schedules.xlsx,7495,10353,18713,10205,16137,2316,2292,financial 4:G5,2449,iferror:D5,724,4,1926,1241,9987,0,0,0,0,276,4801,0,0,9,18,0,0,0,0,0,0,2,4,0,0,760,760
0010_21R04-LeMans-FP1_Mech.xlsx,8,16,10,16,10,16,10,708:R46,1,708:R46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
0010_21R04-LeMans-FP2_Mech.xlsx,8,16,10,16,10,16,10,708:R46,1,708:R46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
0010_21R04-LeMans-FP3_Mech.xlsx,8,16,10,16,10,16,10,709:R46,1,709:R46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
0010_21R04-LeMans-FP4_Mech.xlsx,8,16,10,16,10,16,10,708:R46,1,708:R46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
0010_21R04-LeMans-HYP_Mech.xlsx,8,16,10,16,10,16,10,708:R46,1,708:R46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
0010_21R04-LeMans-Hyperpole_Mech.xlsx,8,16,10,16,10,16,10,709:R46,1,709:R46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
0010_21R04-LeMans-QLY_Mech.xlsx,8,16,10,16,10,16,10,708:R46,1,708:R46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
0010_21R04-LeMans-Race_Mech.xlsx,8,16,10,16,10,16,10,708:R46,1,708:R46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
006_ServotechElectricals _COP2.xlsx,27122,43181,59088,232,215,123,101,Certification:AE792,22,Order:A715,11,20,94,65,58950,0,0,0,0,0,0,11,38,0,0,1,2,0,0,0,0,0,0,0,0,4,4
01 FT EG2021_v07.xlsx,11958,23926,11973,40,25,22,14,DISTITOS SEA:J15,3,DISTITOS SEA:M15,2,0,0,11,11970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
01-1. ExcelSimulation.xlsx,7687,7773,13916,5383,9485,1203,649,Random Simulation (2):C3,5126,Random Simulation (2):C3,2051,10,1070,180,10045,0,0,0,0,168,362,206,575,59,224,1,2,17,34,0,0,0,0,3,9,5,5
01-12-22 Master VBMS-R Access Tracker.xlsx,19,40,36,40,36,8,6,RSTUDENT_Tracker by #:C776098,10,RSTUDENT_Tracker by #:B2,2,0,0,2,17,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
01-Excel_Homework_Instructions_StarterBook.xlsx,16456,37026,24684,9,6,9,6,Kickstart:E539,2,Kickstart:E81,1,0,0,6,24684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.3.neuralnet_excel.xlsx,92320,273554,183520,273554,183520,7272,4838,Circular v.1:LW4,300,Circular v.1:CHE135,49,30,1120,4804,181200,0,0,0,0,4,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
019bf05d-e5a1-4dc6-958a-835ed3a36292.xlsx,1028,1958,1793,1826,1718,951,646,1.Info:A10,42,1.Info:A10,42,52,157,412,1248,0,0,0,0,2,4,30,78,31,66,26,52,30,60,18,36,35,70,8,16,2,2
02 - Tabela_de_Estimativa_Definitiva_de_Tamanho_CFF.xlsx,49,142,126,130,117,79,68,dadoshistoricos:F9,12,dadoshistoricos:E6,4,0,0,8,39,0,0,0,0,3,23,0,0,0,0,1,8,0,0,0,0,0,0,0,0,56,56
02 Financial.xlsx,890,1546,1738,182,180,145,136,Sector:J17,14,Sector:L39,4,0,0,133,1733,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,1
02_IS_COVID19_SOUHRN_risk_2020listopad24.xlsx,103,155,118,155,118,75,48,Mapa_kraje_vyvoj:B2,37,Mapa_kraje_vyvoj:M67,3,0,0,5,30,0,0,0,0,15,55,0,0,0,0,0,0,0,0,5,10,0,0,0,0,23,23
02_IS_COVID19_SOUHRN_risk_2020prosinec02.xlsx,102,153,117,153,117,73,47,Mapa_kraje_vyvoj:B2,37,Mapa_kraje_vyvoj:K11,3,0,0,5,30,0,0,0,0,15,55,0,0,0,0,0,0,0,0,5,10,0,0,0,0,22,22
02_IS_COVID19_SOUHRN_risk_2021leden30.xlsx,101,152,116,152,116,72,46,Mapa_kraje_vyvoj:B2,36,Mapa_kraje_vyvoj:L67,3,0,0,5,30,0,0,0,0,15,55,0,0,0,0,0,0,0,0,5,10,0,0,0,0,21,21
02_IS_COVID19_SOUHRN_risk_2021unor11.xlsx,101,152,116,152,116,72,46,Mapa_kraje_vyvoj:B2,36,Mapa_kraje_vyvoj:K48,3,0,0,5,30,0,0,0,0,15,55,0,0,0,0,0,0,0,0,5,10,0,0,0,0,21,21
02_simplified.xlsx,7721,5349,3709,2032,1453,1679,1146,coef_evolutif:B51,14,coef_evolutif:C36,3,0,0,607,2644,0,0,0,0,4,21,212,440,96,208,76,164,24,48,28,56,4,12,12,24,83,83
02-06-2018_040754Đề nghị mua của TPB theo danh sách từ ngày 16 - 31.01.2018-2.xlsx,36,107,71,4,3,4,3,Đề nghị mua hàng:D21,2,Đề nghị mua hàng:C17,2,0,0,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
02-06-2018_040802Đề nghị mua của TPB theo danh sách từ ngày 16 - 31.01.2018-2.xlsx,36,107,71,4,3,4,3,Đề nghị mua hàng:D21,2,Đề nghị mua hàng:C17,2,0,0,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
02-06-2018_104146Đề nghị mua của TPB theo danh sách từ ngày 16 - 31.01.2018-1.xlsx,36,107,71,4,3,4,3,Đề nghị mua hàng:C17,2,Đề nghị mua hàng:D20,2,0,0,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
02-06-2018_104242Đề nghị mua của TPB theo danh sách từ ngày 16 - 31.01.2018-1.xlsx,36,107,71,4,3,4,3,Đề nghị mua hàng:D23,2,Đề nghị mua hàng:D23,2,0,0,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
02-06-2018_105813Đề nghị mua của TPB theo danh sách từ ngày 16 - 31.01.2018-2.xlsx,36,107,71,4,3,4,3,Đề nghị mua hàng:D23,2,Đề nghị mua hàng:D23,2,0,0,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
02-06-2018_112102Đề nghị mua của TPB theo danh sách từ ngày 16 - 31.01.2018-2.xlsx,36,107,71,4,3,4,3,Đề nghị mua hàng:D21,2,Đề nghị mua hàng:C17,2,0,0,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
02-2017 ST Giant.xlsx,75,125,121,12,11,11,9,VPP Giant 02-2017:P23,6,VPP Giant 02-2017:Q20,4,0,0,6,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
02-Homework_01-Excel_02-Case-Assignment_Instructions_StarterBook.xlsx,24684,49368,32912,12,8,12,8,Source Data:E277,2,Source Data:I3598,1,0,0,8,32912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Homework_01-Excel_Instructions_StarterBook.xlsx,20582,41164,24696,12,7,12,7,Raw:N2105,2,Raw:I2740,1,0,0,7,24696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0219447076AP2014.xlsx,133,260,190,256,188,83,55,SD KPIs:E19,21,Control chart:E28,13,0,0,43,162,1,5,0,0,1,7,1,2,0,0,0,0,5,10,0,0,0,0,0,0,4,4
03__Internet-tabella_2018-2017-2016-.xlsx,4147,8294,4147,6,3,6,3,2018 risultati analisi acqua:J1126,1,2018 risultati analisi acqua:J165,1,0,0,3,4147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_IS_COVID19_DENNI_DATA_risk_vyvoj_20201110.xlsx,54,84,81,84,81,57,39,Výskyt COVID-19 KRAJE:D23,9,Výskyt COVID-19 KRAJE:L15,2,0,0,3,6,0,0,0,0,0,0,6,39,0,0,0,0,0,0,0,0,0,0,6,12,24,24
03_IS_COVID19_DENNI_DATA_risk_vyvoj_20201231.xlsx,54,84,81,84,81,57,39,Výskyt COVID-19 KRAJE:D23,9,Výskyt COVID-19 KRAJE:L15,2,0,0,3,6,0,0,0,0,0,0,6,39,0,0,0,0,0,0,0,0,0,0,6,12,24,24
03_IS_COVID19_DENNI_DATA_risk_vyvoj_2021leden13.xlsx,55,84,82,84,82,57,40,Výskyt COVID-19 KRAJE:D23,10,Výskyt COVID-19 KRAJE:D12,3,0,0,3,6,0,0,0,0,0,0,6,39,0,0,0,0,0,0,0,0,0,0,6,12,25,25
03_IS_COVID19_DENNI_DATA_risk_vyvoj_2021leden15.xlsx,55,84,82,84,82,57,40,Výskyt COVID-19 KRAJE:D23,10,Výskyt COVID-19 KRAJE:D18,3,0,0,3,6,0,0,0,0,0,0,6,39,0,0,0,0,0,0,0,0,0,0,6,12,25,25
03_IS_COVID19_DENNI_DATA_risk_vyvoj_2021unor09.xlsx,55,84,82,84,82,57,40,Výskyt COVID-19 KRAJE:D23,10,Výskyt COVID-19 KRAJE:D9,3,0,0,3,6,0,0,0,0,0,0,6,39,0,0,0,0,0,0,0,0,0,0,6,12,25,25
03_IS_COVID19_DENNI_DATA_risk_vyvoj_listopad20.xlsx,54,84,81,84,81,57,39,Výskyt COVID-19 KRAJE:D23,9,Výskyt COVID-19 KRAJE:L17,2,0,0,3,6,0,0,0,0,0,0,6,39,0,0,0,0,0,0,0,0,0,0,6,12,24,24
03_OWL_322_ohne_LZ.xlsx,462,1092,630,882,532,98,56,Manuelle Zählung 24.02.21:L21,5,Manuelle Zählung 24.02.21:N103,3,0,0,56,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_vakcinace_dle_obci_vyberORP_220108.xlsx,6460,13127,12920,12512,12510,6,4,Očko obce:J2,6254,Očko obce:H548,1,0,0,3,6666,0,0,0,0,1,6254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04 - SRS-H-0812(SCHC)物料清单 -总生产任务.xlsx,2637,5274,2637,30,15,30,15,加工件:F298,1,加工件:F1141,1,0,0,14,2635,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04 Summer Olympic medallists 1896 to 2008.xlsx,8,19,15,17,14,9,6,COUNTRY TOTALS:D142,5,COUNTRY TOTALS:D142,1,0,0,2,7,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
04.代码自测结果表（模板）.xlsx,9,14,13,14,13,12,7,代码自测结果表:E15,5,代码自测结果表:K11,2,0,0,1,4,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
0402.xlsx,111,333,222,3,2,3,2,Sheet2:B26,1,Sheet2:B66,1,0,0,2,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Regressao-Logistica-WILBER_LINHARES.xlsx,12,38,40,38,40,23,16,Credit_Score:L232,5,Analises - Parte 2:H41,1,0,0,6,22,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
05.3. S&P500-KOSPI200 (실습결과).xlsx,5184,10368,10366,10368,10366,476,472,sheet1:C2,1465,sheet1:B2,1,0,0,2,5184,0,0,0,0,470,2126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
052018_Performance vs Target tracking_ENT.xlsx,8975,17762,17501,9617,8981,4999,3564,Playback:AU20,425,Playback:AO54,20,134,280,2372,14938,0,0,0,0,162,581,155,310,8,40,48,96,27,54,72,144,204,434,242,484,140,140
06 - Excel I - Exercícios.xlsx,39,60,58,60,58,36,20,Exercício 6:C14,19,Exercício 6:F4,15,0,0,6,27,0,0,0,0,6,18,5,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3
06 Nong Nghiep (111-210) -2020 Lam Dong.xlsx,558,1095,961,1067,855,353,207,120:C17,6,204:D13,3,0,0,154,710,0,0,0,0,0,0,16,68,0,0,0,0,7,14,0,0,1,2,3,6,26,26
06-04-2015_01_11_18 pm.xlsx,136,235,161,191,127,165,100,CHEQUES ANULADOS:L102,5,Hoja2:AM83,5,3,7,20,70,0,0,0,0,2,4,3,6,2,4,0,0,0,0,0,0,0,0,0,0,70,70
06-04-2015_01_11_45 pm.xlsx,136,235,161,191,127,163,99,CHEQUES ANULADOS:L102,5,Hoja2:AM83,5,3,7,21,72,0,0,0,0,2,4,3,6,2,4,0,0,0,0,0,0,0,0,0,0,68,68
06-04-2015_02_49_00 pm.xlsx,135,235,161,191,127,165,100,CHEQUES ANULADOS:L102,5,Hoja2:AM83,5,3,7,20,70,0,0,0,0,2,4,3,6,2,4,0,0,0,0,0,0,0,0,0,0,70,70
06-04-2015_06_54_07 pm.xlsx,139,235,161,191,127,163,99,CHEQUES ANULADOS:L102,5,Hoja2:AM83,5,3,7,21,72,0,0,0,0,2,4,3,6,2,4,0,0,0,0,0,0,0,0,0,0,68,68
06-CDC-EQ_APOYO-180213.xlsx,5818,9260,11502,771,928,694,858,CDC-SD:G19,126,Macro IV:H11,8,0,0,850,11459,0,0,0,0,7,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
06A-COBie_Test-stage6-COBie.xlsx,21,44,40,44,40,27,17,Instruction:E17,14,Instruction:E21,1,0,0,6,20,0,0,0,0,3,10,0,0,0,0,1,2,0,0,0,0,0,0,0,0,7,7
07-04-2015_02_28_44 pm.xlsx,140,235,161,191,127,165,100,CHEQUES ANULADOS:L102,5,Hoja2:AM83,5,3,7,20,70,0,0,0,0,2,4,3,6,2,4,0,0,0,0,0,0,0,0,0,0,70,70
07-04-2015_05_36_54 pm.xlsx,138,235,161,191,127,165,100,CHEQUES ANULADOS:L102,5,Hoja2:AM83,5,3,7,20,70,0,0,0,0,2,4,3,6,2,4,0,0,0,0,0,0,0,0,0,0,70,70
07-04-2015_06_34_45 pm.xlsx,138,235,161,191,127,165,100,CHEQUES ANULADOS:L102,5,Hoja2:AL91,5,3,7,20,70,0,0,0,0,2,4,3,6,2,4,0,0,0,0,0,0,0,0,0,0,70,70
07-04-2015_10_23_34 am.xlsx,135,232,152,181,118,156,92,CHEQUES ANULADOS:L102,5,Hoja2:AM83,5,3,7,22,71,0,0,0,0,2,4,3,6,2,4,0,0,0,0,0,0,0,0,0,0,60,60
07-04-2015_10_24_37 am.xlsx,137,235,161,191,127,163,99,CHEQUES ANULADOS:L102,5,Hoja2:AM83,5,3,7,21,72,0,0,0,0,2,4,3,6,2,4,0,0,0,0,0,0,0,0,0,0,68,68
07-13 vRC8.3.xlsx,16821,28328,40378,23943,29908,13663,12868,22:B49,195,22:B243,32,240,1830,3798,24080,0,0,0,0,1772,5765,505,1010,480,1110,30,60,30,60,90,180,0,0,0,0,5923,5923
08 Census 2011 District Tehrathum.xlsx,168,504,336,108,72,108,72,Ind06P:E65,1,Ind06P:D104,1,0,0,72,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-04-2015_10_45_32 am.xlsx,136,235,161,191,127,165,100,CHEQUES ANULADOS:L102,5,Hoja2:AM83,5,3,7,20,70,0,0,0,0,2,4,3,6,2,4,0,0,0,0,0,0,0,0,0,0,70,70
098_EPIDEMIOLOGICAL STUDY_RESULTS.xlsx,3906,7785,7763,7735,7735,86,51,Analysis:D46,1281,Analysis:D92,4,0,0,14,3873,0,0,0,0,22,3860,3,6,0,0,0,0,9,18,0,0,0,0,3,6,0,0
0a52c65d8e97cb08d05749d796348289.xlsx,396,1164,948,209,160,125,88,JUL:G11,5,JUL:E16,3,0,0,88,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0to20.xlsx,72,108,72,108,72,72,36,DE:C7,2,DE:C7,1,0,0,0,0,0,0,0,0,36,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 LRD - Influent Characterization - 2015-2017 (version 1).xlsb.xlsx,126840,195346,216792,14793,17739,4573,4021,Data Sorted 2 SD:C4,1827,Data Sorted 2 SD:C4,1827,70,5659,2085,205064,0,0,0,0,1313,4735,206,412,17,34,18,82,0,0,0,0,0,0,0,0,312,312
1 Malaysia_forLSTM_daily_until Sep 2021.xlsx,3863,7727,4836,1959,1952,190,95,Data:E776,2,Data:D644,2,0,0,95,4748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 proportion hypothesis test with pivot table.xlsx,14000,24000,12500,10,6,10,6,XLSTAT_20210210_131027_1_HID:A295,2,Sheet1:G9258,1,0,0,6,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_26.05.2014-15.06.2014.xlsx,318,747,558,439,348,251,166,ფორმა N9:G21,7,ფორმა N9:H21,4,4,8,102,438,0,0,0,0,2,8,0,0,13,26,21,45,0,0,0,0,0,0,9,18,15,15
1_Clean_Original_Intersection_Car_only.xlsx,58566,97612,136654,78092,117133,6664,4423,Crossing-by_DRM2403:H16636,5,Crossing-by_DRM2403:H17530,2,0,0,6,97612,0,0,0,0,0,0,878,1756,2669,7145,0,0,0,0,870,1740,0,0,0,0,0,0
1_Completed_30_CL_3nCNa2D.xlsx,1962,3270,1962,5,3,5,3,Completed_30_CL:AM88,2,Completed_30_CL:AK306,2,0,0,3,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_Completed_30_CL_AbNVwFw.xlsx,1962,3270,1962,5,3,5,3,Completed_30_CL:AM88,2,Completed_30_CL:AK306,2,0,0,3,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_Completed_30_CL_emqJYon.xlsx,1962,3270,1962,5,3,5,3,Completed_30_CL:AM88,2,Completed_30_CL:AK306,2,0,0,3,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
